"","id","baseMeanA","baseMeanB","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ZN1","ZN2","ZN3","ZP1","ZP2","ZP3","gene_name"
"96","ENSG00000173193",3561.8659677103,8148.79499860323,5855.33048315676,1.15960953363189,0.1043080994666,11.1171571485032,1.03518112406028e-28,2.66608771417224e-26,4151,4696,3610,5900,7664,7996,"PARP14"
"97","ENSG00000138496",1445.34977991119,4048.76186148216,2747.05582069667,1.41968262993248,0.12888585947605,11.015037923507,3.23400395416094e-28,8.21655518137566e-26,1738,1925,1403,2661,3847,4245,"PARP9"
"98","ENSG00000196116",120.657855157627,606.669677953557,363.663766555592,2.08555671008377,0.18951408455518,11.004758379721,3.62486328299727e-28,9.08680727781755e-26,152,166,107,537,480,563,"TDRD7"
"99","ENSG00000163235",453.259520889163,1509.19900920413,981.229265046647,1.63122943742909,0.149536805256096,10.9085481305786,1.04918567198087e-27,2.52894100242465e-25,516,539,515,1043,1821,1190,"TGFA"
"100","ENSG00000163545",191.83124948443,1080.07766954873,635.954459516581,2.19337434322415,0.202070689011648,10.8544903466812,1.89862970327544e-27,4.51849836092172e-25,247,241,183,1212,867,702,"NUAK2"
"101","ENSG00000103522",184.838373608972,807.118070524364,495.978222066668,1.93784959321196,0.178978338078828,10.8272856593319,2.55620527644318e-27,6.00740192530103e-25,203,197,234,534,847,773,"IL21R"
"102","ENSG00000130529",322.264558953597,1056.85063327845,689.557596116022,1.60947768230972,0.148748577876403,10.820121478049,2.76410770201993e-27,6.41580109946627e-25,339,461,331,726,1043,1039,"TRPM4"
"103","ENSG00000077150",1016.68652609416,2680.98440025828,1848.83546317622,1.34125024170508,0.124678321918628,10.7576860280526,5.45220186867845e-27,1.25008350406126e-24,1161,1196,1162,2273,2553,2228,"NFKB2"
"104","ENSG00000044574",14974.0615428124,32295.0480369272,23634.5547898698,1.07928612538487,0.100516724998906,10.7373785347325,6.79463343162894e-27,1.53910726684404e-24,15734,21100,15641,23707,31227,30585,"HSPA5"
"105","ENSG00000051108",1762.15639229334,5632.75886169049,3697.45762699191,1.57756008108319,0.14731361279666,10.7088547428453,9.24989963487045e-27,2.07032575041904e-24,1755,2062,2248,5182,5105,4445,"HERPUD1"
"106","ENSG00000116016",291.193687555119,1154.16429488212,722.67899121862,1.82613823059631,0.171207438369923,10.6662318412277,1.46445455391109e-26,3.23920118448027e-24,334,308,358,791,1052,1212,"EPAS1"
"107","ENSG00000166173",1067.69883829919,2868.77987868696,1968.23935849307,1.36254256868321,0.128606363998549,10.5946745271375,3.15436348270398e-26,6.89595207422296e-24,1357,1258,1098,2545,2678,2303,"LARP6"
"108","ENSG00000174564",90.4507564772001,455.976508170391,273.213632323796,2.07304951827012,0.19640473244767,10.5549876137657,4.8170311395993e-26,1.04097703971961e-23,104,110,100,334,400,468,"IL20RB"
"109","ENSG00000167779",24.7345801225931,304.362298322065,164.548439222329,2.7518596534183,0.262842726986333,10.4696054746129,1.19138497044944e-25,2.54536691243408e-23,40,16,28,299,294,203,"IGFBP6"
"110","ENSG00000132274",71.5811218652838,399.631773597121,235.606447731202,2.16014687329341,0.206599239764975,10.455734860161,1.37925386519453e-25,2.91363504713735e-23,84,114,57,325,371,356,"TRIM22"
"111","ENSG00000101670",675.91279708843,1719.88550622026,1197.89915165434,1.29202381594494,0.12451571576077,10.3763915105084,3.17551905141442e-25,6.41967028877877e-23,798,822,729,1424,1721,1396,"LIPG"
