"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MGAT3",2.18618339837435,-0.267092362844081,1.6512964979413,-0.161747065519166,0.87150503958078,NA
"MGAT4A",4.31618956145533,-1.74985767963879,1.09192228502783,-1.60254782197636,0.109034521414278,NA
"MGAT4B",46.1268194571731,0.437637693753345,0.406134521112002,1.07756832035624,0.281226446204875,0.99882213502179
"MGAT4C",0,NA,NA,NA,NA,NA
"MGAT5",19.1297622151006,-0.501307438968799,0.49600004844379,-1.01070038307791,0.312159853655295,0.99882213502179
"MGAT5B",4.17487859455187,1.0359388595496,1.78616735990746,0.579978608277373,0.561929043606287,NA
"MGEA5",28.5768785272188,0.0466892977720883,0.448559771907779,0.104087126613056,0.917100206838328,0.99882213502179
"MGLL",10.8632741970882,0.351774141346362,1.43738109770121,0.244732689130914,0.806663415290736,0.99882213502179
"MGME1",22.8529325371155,-0.138438581921901,0.438750874204606,-0.315528902758019,0.752360109754282,0.99882213502179
"MGMT",0,NA,NA,NA,NA,NA
"MGP",21.6097956553706,3.76030718877485,1.27791314878072,2.9425373644231,0.00325534499029062,0.231943330558207
"MGRN1",11.1801832130629,-0.0735342165367507,0.766759103910725,-0.0959026324717918,0.923597903809473,0.99882213502179
"MGST1",80.9119139267266,0.931031674353173,0.822907900403961,1.13139231485824,0.257890004696658,0.99882213502179
"MGST2",5.96821618060266,-0.015201931877355,3.07554364653509,-0.00494284381055086,0.996056197296079,NA
"MGST3",40.0046428132945,-0.128396830313729,0.370131559075911,-0.346895116520977,0.728670115568695,0.99882213502179
"MIA",37.9846659265214,1.40198626511577,3.73109738379125,0.375757081872567,NA,NA
"MIA3",12.1231132097726,-0.136950574443224,0.596656334948397,-0.229530076899408,0.818456946551732,0.99882213502179
"MIB1",20.4365686032394,-0.372211235919454,0.49933329067189,-0.745416424005331,0.456020018100137,0.99882213502179
"MIB2",5.79022707812786,0.572187485769359,0.998327135340534,0.573146281929102,0.566545652571141,NA
"MICAL1",11.1222510850626,0.282782445086832,0.634420728773679,0.44573330009794,0.655789907312766,0.99882213502179
"MICAL2",9.10460937085427,2.7387121919619,1.34525907149841,2.03582510609752,0.0417679204445739,0.873380836470099
"MICAL3",16.6944743964234,-0.266725926485459,0.530662902063569,-0.502627799019399,0.61522598076953,0.99882213502179
"MICALL1",25.0461035083659,0.580528540211568,0.512284977824725,1.13321406119816,0.257124370673507,0.99882213502179
"MICALL2",9.45396886267585,0.757701717587175,0.789197379006673,0.96009152810525,0.337009151898004,0.99882213502179
"MICU1",25.1306073885175,-0.39007980723464,0.516813244337466,-0.75477904544553,0.450381568896538,0.99882213502179
